InputIndex,Address to Validate,LOCALITY,Primary Address,Locality,Postcode,Local Government Name,LotNumber,PlanNumber,Longitude,Latitude,GeocodeType,Confidence,FullAddress,Complex-Building Name,Comment
127,38 Noosa pde,NOOSA HEADS,38 NOOSA PDE,NOOSA HEADS,4567,NOOSA SHIRE,18,N21842,153.0842329,-26.38903511,PC,100,38 NOOSA PDE  NOOSA HEADS QLD 4567,, 
128,23 Cullinane st,TEWANTIN,23 CULLINANE ST,TEWANTIN,4565,NOOSA SHIRE,1,RP137373,153.03021784,-26.38843685,PC,100,23 CULLINANE ST  TEWANTIN QLD 4565,, 
129,407 Steve Irwin way (Glass House Mountains rd),BEERBURRUM,407 STEVE IRWIN WAY,BEERBURRUM,4517,SUNSHINE COAST REGIONAL,853,SP168402,152.95542587,-26.94209182,PC,94,407 STEVE IRWIN WAY  BEERBURRUM QLD 4517,, 
130,23 Lorilet st,PEREGIAN BEACH,23 LORILET ST,PEREGIAN BEACH,4573,NOOSA SHIRE,59,P93125,153.09717815,-26.46227304,PC,100,23 LORILET ST  PEREGIAN BEACH QLD 4573,, 
131,6 Cordia clos,PEREGIAN BEACH,6 CORDIA CL,PEREGIAN BEACH,4573,NOOSA SHIRE,378,P93153,153.09710289,-26.46276435,PC,94,6 CORDIA CL  PEREGIAN BEACH QLD 4573,, 
132,13 Stevens st,SUNSHINE BEACH,13 STEVENS ST,SUNSHINE BEACH,4567,NOOSA SHIRE,758,RP48111,153.11189047,-26.40171966,PC,100,13 STEVENS ST  SUNSHINE BEACH QLD 4567,, 
133,11 Cordia clos,PEREGIAN BEACH,11 CORDIA CL,PEREGIAN BEACH,4573,NOOSA SHIRE,379,P93153,153.09664113,-26.46179169,PC,94,11 CORDIA CL  PEREGIAN BEACH QLD 4573,, 
134,2 Grasstree ct,SUNRISE BEACH,2 GRASSTREE CT,SUNRISE BEACH,4567,NOOSA SHIRE,8,RP901384,153.10013566,-26.41134226,PC,100,2 GRASSTREE CT  SUNRISE BEACH QLD 4567,(SUNRISE NEIGHBOURHOOD SHOP), 
135,4 Racecourse rise,EUMUNDI,4 RACECOURSE RISE,EUMUNDI,4562,SUNSHINE COAST REGIONAL,17,SP206118,152.94606637,-26.47442369,PC,100,4 RACECOURSE RISE  EUMUNDI QLD 4562,, 
136,59 Fullager dr,EUMUNDI,59 FULLAGER DR,EUMUNDI,4562,SUNSHINE COAST REGIONAL,78,SP316227,152.94531065,-26.47593644,PC,100,59 FULLAGER DR  EUMUNDI QLD 4562,, 
137,58 Fullager dr,EUMUNDI,58 FULLAGER DR,EUMUNDI,4562,SUNSHINE COAST REGIONAL,72,SP316227,152.9448438,-26.47534499,PC,100,58 FULLAGER DR  EUMUNDI QLD 4562,, 
139,10 Kauri cres,PEREGIAN SPRINGS,10 KAURI CR,PEREGIAN SPRINGS,4573,SUNSHINE COAST REGIONAL,8249,SP264895,153.07603793,-26.50705099,PC,100,10 KAURI CR  PEREGIAN SPRINGS QLD 4573,, 
141,90 Centenary Heights rd,COOLUM BEACH,90 CENTENARY HEIGHTS RD,COOLUM BEACH,4573,SUNSHINE COAST REGIONAL,43,RP94829,153.08175069,-26.54191408,PC,100,90 CENTENARY HEIGHTS RD  COOLUM BEACH QLD 4573,, 
142,7 Ridgeway st,SUNRISE BEACH,7 RIDGEWAY ST,SUNRISE BEACH,4567,NOOSA SHIRE,47,N21839,153.1057509,-26.42180713,PC,100,7 RIDGEWAY ST  SUNRISE BEACH QLD 4567,, 
143,17 Durrack pl,BUDERIM,17 DURRACK PL,BUDERIM,4556,SUNSHINE COAST REGIONAL,98,SP123714,153.07154392,-26.69961843,PC,100,17 DURRACK PL  BUDERIM QLD 4556,, 
145,81 Noosa dr,NOOSA HEADS,81 NOOSA DR,NOOSA HEADS,4567,NOOSA SHIRE,1,RP206645,153.08942524,-26.39687585,PC,100,81 NOOSA DR  NOOSA HEADS QLD 4567,, 
146,88 Lorikeet dr,PEREGIAN BEACH,88 LORIKEET DR,PEREGIAN BEACH,4573,NOOSA SHIRE,531,P93121,153.09579631,-26.49052134,PC,100,88 LORIKEET DR  PEREGIAN BEACH QLD 4573,, 
147,94 Lorikeet dr,PEREGIAN BEACH,94 LORIKEET DR,PEREGIAN BEACH,4573,NOOSA SHIRE,528,P93121,153.09586539,-26.4900419,PC,100,94 LORIKEET DR  PEREGIAN BEACH QLD 4573,, 
148,19 Durrack pl,BUDERIM,19 DURRACK PL,BUDERIM,4556,SUNSHINE COAST REGIONAL,99,SP123714,153.07151824,-26.69979291,PC,100,19 DURRACK PL  BUDERIM QLD 4556,, 
149,13 Venture dr,NOOSAVILLE,13 VENTURE DR,NOOSAVILLE,4566,NOOSA SHIRE,35,RP901043,153.04474697,-26.40805867,PC,100,13 VENTURE DR  NOOSAVILLE QLD 4566,, 
150,93 Upper Hastings st,NOOSA HEADS,93 UPPER HASTINGS ST,NOOSA HEADS,4567,NOOSA SHIRE,42,RP52918,153.09532817,-26.38739182,PC,100,93 UPPER HASTINGS ST  NOOSA HEADS QLD 4567,, 
151,16 Venture dr,NOOSAVILLE,16 VENTURE DR,NOOSAVILLE,4566,NOOSA SHIRE,14,SP107541,153.04388961,-26.4074873,PC,100,16 VENTURE DR  NOOSAVILLE QLD 4566,, 
152,1 Jubilee ct,TEWANTIN,1 JUBILEE CT,TEWANTIN,4565,NOOSA SHIRE,12,SP110990,153.02378828,-26.39843617,PC,100,1 JUBILEE CT  TEWANTIN QLD 4565,, 
153,3 Jubilee ct,TEWANTIN,3 JUBILEE CT,TEWANTIN,4565,NOOSA SHIRE,11,SP110990,153.02357265,-26.39840275,PC,100,3 JUBILEE CT  TEWANTIN QLD 4565,, 
